# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	5015
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
a 	啊	c=9 d=1.71725 t=5015
chuang jian 	創建	c=21 d=2.04267 t=5015
chuang jian biao 	創建表	c=2 d=0.253974 t=5015
chuang jian cha xun 	創建查詢	c=1 d=0.0439369 t=5015
chuang jian dai li dui xiang 	創建代理對象	c=1 d=0.442639 t=5015
chuang jian dui hua dui xiang 	創建對話對象	c=1 d=0.249075 t=5015
chuang jian dui xiang 	創建對象	c=6 d=0.482094 t=5015
chuang jian dui xiang hou 	創建對象後	c=2 d=0.0349347 t=5015
chuang jian fang shi 	創建方式	c=1 d=0.0222592 t=5015
chuang jian gong chang dui xiang 	創建工廠對象	c=2 d=0.584963 t=5015
chuang jian hui hua dui xiang 	創建會話對象	c=1 d=0.341298 t=5015
chuang jian jie xi 	創建解析	c=1 d=0.818731 t=5015
chuang jian lei 	創建類	c=2 d=0.0866557 t=5015
chuang jian mu biao wen jian jia 	創建目標文件夾	c=1 d=0.726149 t=5015
chuang jian rong qi dui xiang 	創建容器對象	c=1 d=0.0871609 t=5015
chuang jian shang xia wen dui xiang 	創建上下文對象	c=1 d=0.806541 t=5015
chuang jian shi jian 	創建時間	c=1 d=0.0958472 t=5015
chuang jian shi ti lei 	創建實體類	c=1 d=0.100259 t=5015
chuang jian shu ju ku 	創建數據庫	c=1 d=0.423162 t=5015
chuang jian wan 	創建玩	c=1 d=0.0596059 t=5015
chuang jian yi ge 	創建一個	c=1 d=0.0430669 t=5015
chuang jian zhu pei zhi wen jian 	創建主配置文件	c=1 d=0.310367 t=5015
chuang jian zi dong sheng cheng 	創建自動生成	c=1 d=0.839457 t=5015
chuang jian zi lei dai li 	創建子類代理	c=1 d=0.460704 t=5015
chuang kou 	窗口	c=2 d=2.03928 t=5015
chuang li 	創利	c=0 d=0.0298197 t=5015
chuang yi 	創意	c=0 d=0.0044601 t=5015
chun 	純	c=1 d=0.158025 t=5015
ci li 	磁力	c=1 d=0.0182243 t=5015
ci ma 	詞碼	c=1 d=0.440432 t=5015
ci shu 	次數	c=1 d=1 t=5015
ci wen jian 	此文件	c=1 d=0.0510474 t=5015
cong 	從	c=3 d=0.918512 t=5015
cong di yi ge gun dong dao 	從第一個滾動到	c=1 d=0.0196437 t=5015
cong dui xiang 	從對象	c=1 d=1.48949e-11 t=5015
cong rong qi 	從容器	c=1 d=0.0889216 t=5015
cong shu ju ku 	從數據庫	c=1 d=0.00975476 t=5015
cun chu 	存儲	c=1 d=0.0095616 t=5015
cun fang 	存放	c=1 d=0.0740818 t=5015
cun fang wen jian de mu lu 	存放文件的目錄	c=1 d=0.744532 t=5015
cun fang zai 	存放在	c=2 d=0.722527 t=5015
cun zai 	存在	c=3 d=0.213394 t=5015
cun zai zhu jian 	存在主鍵	c=1 d=0.0325493 t=5015
cun zhong 	村中	c=0 d=0.0408608 t=5015
cuo 	錯	c=0 d=0.0310367 t=5015
cuo wu 	錯誤	c=4 d=0.782705 t=5015
cuo wu bian hao 	錯誤編號	c=1 d=0.0977834 t=5015
cuo wu dui xiang 	錯誤對象	c=1 d=0.0992613 t=5015
cuo wu ti shi xin xi 	錯誤提示信息	c=1 d=0.100259 t=5015
cuo wu xin xi 	錯誤信息	c=1 d=0.0948935 t=5015
cuo yong zi 	錯用字	c=1 d=0.311923 t=5015
da 	大	c=0 d=0.00118551 t=5015
da bao zha 	大爆炸	c=0 d=0.00155297 t=5015
da da 	大大	c=0 d=0.0579217 t=5015
da da jian shao 	大大減少	c=1 d=0.579842 t=5015
da da jiang di 	大大降低	c=1 d=0.516851 t=5015
da gu tou 	大骨頭	c=1 d=0.0119145 t=5015
da jian 	搭建	c=1 d=0.454451 t=5015
da jian xiang mu mu lu 	搭建項目目錄	c=1 d=0.408608 t=5015
da jian ying yong 	搭建應用	c=1 d=0.367879 t=5015
da kai 	打開	c=1 d=0.00546167 t=5015
da lian 	大臉	c=0 d=0.00116203 t=5015
