# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	173558
#@/user_id	745a313e-3b80-4f42-9e1d-fa237096293f
ba gua 	八卦	c=1 d=3.59041e-09 t=173558
ba gua ba gua qu 	八卦八卦去	c=1 d=1 t=134061
ba guan 	把關	c=0 d=4.15914e-34 t=131593
ba jiu 	八九	c=1 d=2.6884e-18 t=131593
ba jiu bai 	八九百	c=1 d=2.70188e-17 t=131593
ba jiu tian 	八九天	c=2 d=1.62536e-48 t=131593
ba kong 	把控	c=2 d=1 t=167492
ba le 	拔了	c=1 d=1.54575e-06 t=173558
ba lei 	八類	c=0 d=0.0882497 t=173558
ba lei ren yuan 	八類人員	c=1 d=0.88692 t=173558
ba li 	巴黎	c=1 d=9.64567e-194 t=131593
ba ma 	爸媽	c=1 d=1.4467e-21 t=131593
ba ni 	把你	c=7 d=0.960847 t=173558
ba ni de 	把你的	c=2 d=3.73415e-59 t=173558
ba ni di zhi gei wo fa yi xia 	把你地址給我發一下	c=1 d=3.03901e-18 t=173558
ba ni men ji ge 	把你們幾個	c=1 d=1 t=133824
ba ni yong bu dao de 	把你用不到的	c=1 d=1.2849e-08 t=131593
ba qian 	八千	c=0 d=1.26267e-39 t=131593
ba qian 	把錢	c=0 d=0.0609571 t=173558
ba qian kuai qian 	八千塊錢	c=1 d=1.269e-38 t=131593
ba qiang 	八強	c=1 d=1 t=132407
ba ren 	把人	c=1 d=2.02034e-09 t=131593
ba shi 	巴士	c=5 d=0.959618 t=173558
ba shi 	巴適	c=1 d=1.62855e-61 t=131593
ba shi qing 	把事情	c=2 d=0.00227554 t=173558
ba shou shang 	把手上	c=1 d=5.54009e-53 t=173558
ba shu ju 	把數據	c=1 d=1.29623e-23 t=173558
ba shu ju yi huan jiu bu yong guan le 	把數據一換就不用管了	c=1 d=0.0850089 t=173558
ba ta 	把他	c=2 d=7.64931e-12 t=173558
ba ta 	把她	c=1 d=3.66731e-23 t=173558
ba ta 	把它	c=1 d=2.11477e-18 t=173558
ba ta men 	吧他們	c=1 d=1.29029e-116 t=131593
ba tian ju shou 	霸天巨獸	c=1 d=1.98033e-09 t=173558
ba wo 	把我	c=8 d=0.479505 t=173558
ba wo 	把握	c=3 d=0.000166156 t=173558
ba wo du 	把握度	c=1 d=1.01174e-49 t=131593
ba wo hao 	把握好	c=1 d=8.18704e-30 t=131593
ba wo jin du 	把握進度	c=1 d=0.00166989 t=173558
ba wo men 	把我們	c=1 d=9.8679e-21 t=173558
ba ye 	霸業	c=1 d=6.21336e-20 t=173558
ba yue 	八月	c=1 d=4.34895e-58 t=131593
ba yue fen 	八月份	c=0 d=9.1531e-196 t=131593
ba yue fen de qian zou 	八月份的前奏	c=2 d=1.86307e-194 t=131593
ba yue qian 	把約簽	c=1 d=6.56338e-194 t=131593
ba zhe 	把這	c=1 d=6.9512e-46 t=131593
ba zhe ge 	把這個	c=7 d=0.732358 t=173558
ba zhe ge shi jian 	把這個時間	c=1 d=0.000270565 t=173558
